Id;zona;horta;bairro;estado;endereço;latitude;longitude
1;Periurbana e Rural;CA Eliza Romaro;Povoado Eliza Romaro;em funcionamento;Estrada do Tipiti, s/n, Povoado Eliza Romaro;-4.922198481906171;-42.851387756370805
2;Periurbana e Rural;CA Ave Verde;Localidade Ave Verde;em funcionamento;R. Matões, s/n, Ave Verde;-4.965622366905608;-42.80060501745356
3;Norte;CA Camboa;Cidade Industrial;uso parcial;Rod. Ter 150, s/n, Cidade Industrial;-4.973866923802822;-42.842586110182076
4;Norte;CA Santa Maria da Codipi;Santa Maria da Codipi;em funcionamento;R. Francisco Magnólia, s/n, Santa Maria da Codipi;-4.983295311899794;-42.848134440493766
5;Norte;CA Monte Verde;Monte Verde;em funcionamento;R. Amadeus Paulo, s/n, Monte Verde;-4.996473232494735;-42.82293960095388
6;Periurbana e Rural;CA Tapuia;Povoado Tapuia;uso parcial;Estrada Rural José de Freitas, s/n, Tapuia;-4.920417109422564;-42.715760456218604
7;Periurbana e Rural;Assentamento Manoel do Morro;Povoado Tapuia;em funcionamento;Estrada Rural José de Freitas, s/n, Tapuia;-4.934880988987405;-42.720054520456806
8;Periurbana e Rural;CA Tamboril;Povoado Baixão;ocupada moradia;Rodovia Ter 335, s/n, Povoado Baixão;-4.9457285020832025; -42.705944695135095
9;Periurbana e Rural;CA Serra do Gavião;Serra do Gavião;em funcionamento;Assentamento Serra do Gavião, s/n;-4.9759730539762534; -42.67880152478082
10;Periurbana e Rural;CA Soinho;Povoado Soinho;em funcionamento;Estrada da Cacimba Velha, s/n, Povoado Soinho;-4.997822831734319;-42.71411359297268
11;Norte;CA Sinhá Borges;Santa Sofia;em funcionamento;R. Fotógrafo Carioca, s/n, Santa Sofia;-5.025670741400549;-42.80216092488709
12;Norte;CA Apôlonia;Vila Apolônia;em funcionamento;Av. Boa Esperança, s/n, Vila Apolônia;-5.048401382315527;-42.83701449326337
13;Sul;CA Alegria;Assentamento Alegria;em funcionamento;Projeto Casulo, Povoado Alegria;-5.140797730303872;-42.74446409675855
14;Periurbana e Rural;CA Vale da Esperança ;Vale da Esperança;em funcionamento;Rodoanel ;-5.122808274235588;-42.60402089843541
15;Periurbana e Rural;Assentamento Emiliano Zapata;Assentamento Emiliano Zapata;em funcionamento;Rodoanel ;-5.14906;-42.64085
16;Periurbana e Rural;CA Nova Olinda;Jardim Europa;em funcionamento;"Povoado Nova Olinda, s/n, Jardim Europa";-5.20087;-42.68098
17;Periurbana e Rural;CA Cerâmica Cil;Cerâmica Cil;em funcionamento;Rua 30, s/n, Cerâmica Cil;-5.2741134234855185;-42.803940243701085
18;Periurbana e Rural;CA 17 de Abril;Chapadinha Sul;em funcionamento;Assentamento 17 de abril, s/n, Chapadinha Sul;-5.300039649683028;-42.73800544136525